"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","SessionID","User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","267: Please enter your Prolific ID:","77:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","78:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","57:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","58:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","329:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","330:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","107:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","108:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","113:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","114:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","118:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","119:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","123:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","124:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","128:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","129:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","323:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","324:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","138:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","139:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","143:        Task 3:         The program’s labelling of the number in Task 1 is correct:  ","144:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","148:        Task 3:         The program’s labelling of the number in Task 1 is correct:","149:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","153:        Task 3:         The program’s labelling of the number in Task 1 is correct:","154:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","158:        Task 3:         The program’s labelling of the number in Task 1 is correct:","159:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","163:        Task 3:         The program’s labelling of the number in Task 1 is correct:","164:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","168:        Task 3:         The program’s labelling of the number in Task 1 is correct:","169:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","173:        Task 3:         The program’s labelling of the number in Task 1 is correct:","174:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","194:        Task 3:         The program’s labelling of the number in Task 1 is correct:","195:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","199:        Task 3:         The program’s labelling of the number in Task 1 is correct:","200:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","204:        Task 3:         The program’s labelling of the number in Task 1 is correct:","205:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","209:        Task 3:         The program’s labelling of the number in Task 1 is correct:","210:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","214:        Task 3:         The program’s labelling of the number in Task 1 is correct:","215:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","219:        Task 3:         The program’s labelling of the number in Task 1 is correct:","220:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","224:        Task 3:         The program’s labelling of the number in Task 1 is correct:","225:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","229:        Task 3:         The program’s labelling of the number in Task 1 is correct:","230:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","334:        Task 3:         The program’s labelling of the number in Task 1 is correct:","335:        Task 4:         The program’s labelling of the number in Task 1 is reasonable:","337: A. Overall, the program's labelling of numbers was correct.","338: B. Overall, the program's labelling of numbers was reasonable.","83: 1. From the explanation, I understand how the program works.","84: 2. This explanation of how the program works is satisfying.","85: 3. This explanation of how the program works has sufficient detail.","86: 4. This explanation of how the program works seems complete.","87: 5. This explanation of how the program works tells me how to use it.","88: 6. This explanation of how the program works is useful to my goals.","186: 7. This explanation of the program shows me how accurate the program is.","187: 8. This explanation lets me judge when I should trust and not trust the program.","89: 1. I am confident in the program. I feel that it works well.","90: 2. The outputs of the program are very predictable.","91: 3. The program is very reliable. I can count on it to be correct all the time.","92: 4. I feel safe that when I rely on the program I will get the right answers.","93: 5. The program is efficient in that it works very quickly. ","188: 6. I am wary of the program.","189: 7. The program can perform the task better than a novice human user.","190: 8. I like using the program for decision making.","94: You may have noticed that sometimes the program did not seem to label the numbers correctly. Can you state, in your own words, in as much detail as possible, why you think the program failed on these items?","266: New URL Redirect"
"1","Apr 1, 2020 12:21:49 pm","Apr 1, 2020 12:31:48 pm","Complete","","","","English","","1585758109_5e84bf9dca81a5.82481538","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","82.6.174.36","-1.5082000494003","52.406398773193","United Kingdom","Coventry","C7","CV1","5c0a9edddb82070001bc3d5e","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","I agree strongly","I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","Due to the way it is programmed to expect each number",""
"2","Apr 1, 2020 12:23:09 pm","Apr 1, 2020 12:39:02 pm","Complete","","","","English","","1585758189_5e84bfed910287.86214588","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4100.0 Safari/537.36","","37.228.244.50","-6.2487998008728","53.333801269531","Ireland","Dublin","07","D02","5c66d6a50d7f5f00014b8ab0","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","I agree strongly","I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","I think it got confused and misread the input",""
"3","Apr 1, 2020 12:23:06 pm","Apr 1, 2020 12:31:41 pm","Complete","","","","English","","1585758186_5e84bfea0cb269.75227128","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","176.254.220.102","0.042300000786781","52.28150177002","United Kingdom","Cambridge","C3","CB24","5dfd2bc3e297d5a1e28a4d62","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","I agree somewhat","I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","The main problem came from 2's and 1's that were written in similar ways.",""
"4","Apr 1, 2020 12:23:25 pm","Apr 1, 2020 12:33:14 pm","Complete","","","","English","","1585758205_5e84bffd356490.58135659","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","81.158.91.30","-3.3770000934601","55.98099899292","United Kingdom","South Queensferry","U8","EH30","5e03a03e54ff23e8ca6362c1","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","I agree somewhat","I agree strongly","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","1<br />I disagree strongly","2<br /> I disagree somewhat","the training data was ambiguous",""
"5","Apr 1, 2020 12:23:29 pm","Apr 1, 2020 12:35:28 pm","Complete","","","","English","","1585758209_5e84c001a53432.24282599","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15","","81.157.196.16","-0.11680000275373","51.600399017334","United Kingdom","Wood Green","F3","N22","5e7f6e35df553300082f3197","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","I agree strongly","I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","Different ways in which people may write the same number. As well as similarities between certain numbers and letters.",""
"8","Apr 1, 2020 12:22:17 pm","Apr 1, 2020 12:31:08 pm","Complete","","","","English","","1585758137_5e84bfb99dd9c4.98493975","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","73.223.205.112","-122.04399871826","38.266998291016","United States","Fairfield","CA","94533","5596cdbbfdf99b3b5597ba91","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","I agree strongly","I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","3<br /> I'm neutral about it","because the numbers were written/drawn in a way that resembled the way another number had been drawn",""
"9","Apr 1, 2020 12:22:41 pm","Apr 1, 2020 12:29:45 pm","Complete","","","","English","","1585758161_5e84bfd151f578.06067276","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","75.133.251.92","-84.779602050781","43.605499267578","United States","Mount Pleasant","MI","48858","5b0779259d397e000191969a","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","I agree somewhat","I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","Ones and twos are tricky, because each person's handwriting style is different. While as a human I was able to discern that a particular number was clearly a one, the feedback the computer had received from other humans made that number look two-like to the computer.",""
"11","Apr 1, 2020 12:22:25 pm","Apr 1, 2020 12:32:40 pm","Complete","","","","English","","1585758145_5e84bfc1cc2b43.42495365","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","92.10.175.207","-2.2304999828339","53.470199584961","United Kingdom","Manchester","I2","M13","5b8981608e29c7000107c48d","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","I agree strongly","I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","The handwriting was not legible therefore it was difficult to tell what the number was.",""
"12","Apr 1, 2020 12:22:53 pm","Apr 1, 2020 12:39:07 pm","Complete","","","","English","","1585758173_5e84bfdd6e5f22.83832594","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","86.131.141.142","-2.1654000282288","53.358001708984","United Kingdom","Stockport","N2","SK7","5a6dbea3e6cc4a0001b6c916","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","I agree strongly","I agree strongly","3<br /> I'm neutral about it","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","Some of the numbers could be interpreted as letters, ie o instead of 0.",""
"13","Apr 1, 2020 12:22:55 pm","Apr 1, 2020 12:33:28 pm","Complete","","","","English","","1585758175_5e84bfdf875141.12712943","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36","","185.2.196.73","-2.1958999633789","53.503898620605","United Kingdom","Manchester","I2","M40","5de256dedbc35628c94846b7","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","I agree strongly","I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","I only noticed one failure which I think was a reasonable mistake to make. The way the 1 had been drawn looked very similar to some of the 2s labelled correctly by humans. Handwriting is so varied, it would be impossible to get 100% accuracy.",""
