"Response ID","Please enter your Prolific ID:","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","       Task 3:         The program’s labelling of the number in Task 1 is correct:  ","       Task 4:         The program’s labelling of the number in Task 1 is reasonable:  ","1. From the explanation, I understand how the program works.","2. This explanation of how the program works is satisfying.","3. This explanation of how the program works has sufficient detail.","4. This explanation of how the program works seems complete.","5. This explanation of how the program works tells me how to use it.","6. This explanation of how the program works is useful to my goals.","7. This explanation of the program shows me how accurate the program is.","8. This explanation lets me judge when I should trust and not trust the program.","1. I am confident in the program. I feel that it works well.","2. The outputs of the program are very predictable.","3. The program is very reliable. I can count on it to be correct all the time.","4. I feel safe that when I rely on the program I will get the right answers.","5. The program is efficient in that it works very quickly. ","6. I am wary of the program.","7. The program can perform the task better than a novice human user.","8. I like using the program for decision making.","You may have noticed that sometimes the program did not seem to label the numbers correctly. Can you state, in your own words, in as much detail as possible, why you think the program failed on these items?","New URL Redirect"
"1","591a1293a661ea00014f69f3","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","1<br />I disagree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","Because the written numbers where not clearly written ",""
"2","5d2dbd506258f0000130b971","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","3<br /> I'm neutral about it","2<br /> I disagree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","3<br /> I'm neutral about it","5<br /> I agree strongly","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","The picture looked like another number and some of the human examples were not very clear either.",""
"3","5e0d155653b56e4b2bdea593","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","2<br /> I disagree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","It is possible that the program failed to correctly recognize a few numbers because of the way it was written. sometimes an incorrectly written 0 can look almost like a 6, and a poorly written 8 can look like a 9. I think the program did it's best to get the correct answer from the poorly written numbers that were displayed.",""
"4","5af2686097a14300017d28f0","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","3<br /> I'm neutral about it","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","3<br /> I'm neutral about it","2<br /> I disagree somewhat","3<br /> I'm neutral about it","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","Some numbers can appear to resemble other numbers when written quickly or carelessly. The program could only learn from and rely on what it has seen and been taught.",""
"5","5c602f845f56c00001baa66e","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","The main issue was either in reading/not reading smaller lines used by the writer, it wasn't consistent with picking up small imperfections",""
"6","5cf2afbe9982f50001ce4d86","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","The samples shown weren't very clear and I think a human would have made their best guess at the same tasks as there was ambiguity. ",""
"7","5dae90edeeac21001527792a","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","Some numbers when not written clearly are incredibly similar such as a 7 and a 1. Additionally when the program is given human labeling examples of poorly written fives then it can end up confusing well written six for a five",""
"8","5c2a1d9a0bd9fd0001f322a1","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","5<br /> I agree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","1<br />I disagree strongly","3<br /> I'm neutral about it","1<br />I disagree strongly","3<br /> I'm neutral about it","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","5<br /> I agree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","I think it was given bad examples. Generally when it got a number wrong it's because the handwritten examples had been mislabelled or they were closer to another number than the number they'd been labelled as. It's fair of it to assume that a 1 is actually a 7 if all the examples of 7s that it's seen have looked very similar to that 1. I'm sure this would improve with lots more learning though.",""
"9","5e14d1136e8aababb1942673","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","2<br /> I disagree somewhat","3<br /> I'm neutral about it","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","4<br /> I agree somewhat","2<br /> I disagree somewhat","3<br /> I'm neutral about it","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","2<br /> I disagree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","1<br />I disagree strongly","4<br /> I agree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","3<br /> I'm neutral about it","4<br /> I agree somewhat","3<br /> I'm neutral about it","3<br /> I'm neutral about it","1<br />I disagree strongly","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","1<br />I disagree strongly","3<br /> I'm neutral about it","I believe that the program sometimes labelled the numbers incorrectly because the hand written numbers weren't always clear, and in some cases they were badly composed. It is understandable that in the cases were the numbers learnt from were badly written and unclear, that the program would easily confuse them.",""
"10","5cf18ce88b2e240001b0062c","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","5<br /> I agree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","3<br /> I'm neutral about it","3<br /> I'm neutral about it","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","1<br />I disagree strongly","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","1<br />I disagree strongly","1<br />I disagree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","5<br /> I agree strongly","3<br /> I'm neutral about it","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","4<br /> I agree somewhat","4<br /> I agree somewhat","2<br /> I disagree somewhat","2<br /> I disagree somewhat","Due to humans not writing clearly ",""
